I1219 15:46:59.670128       1 selector_spreading.go:146] green-k8s-test-65bb774986-qf974 -> ip-172-20-49-41.ec2.internal: SelectorSpreadPriority, Score: (0)
I1219 15:46:59.670137       1 selector_spreading.go:146] green-k8s-test-65bb774986-qf974 -> ip-172-20-61-178.ec2.internal: SelectorSpreadPriority, Score: (0)
I1219 15:46:59.670143       1 generic_scheduler.go:773] green-k8s-test-65bb774986-qf974_default -> ip-172-20-58-134.ec2.internal: ServiceSpreadingPriority, Score: (3)
I1219 15:46:59.670149       1 generic_scheduler.go:773] green-k8s-test-65bb774986-qf974_default -> ip-172-20-45-201.ec2.internal: ServiceSpreadingPriority, Score: (3)
I1219 15:46:59.670154       1 generic_scheduler.go:773] green-k8s-test-65bb774986-qf974_default -> ip-172-20-49-41.ec2.internal: ServiceSpreadingPriority, Score: (0)
I1219 15:46:59.670159       1 generic_scheduler.go:773] green-k8s-test-65bb774986-qf974_default -> ip-172-20-61-178.ec2.internal: ServiceSpreadingPriority, Score: (0)
I1219 15:46:59.670176       1 generic_scheduler.go:838] Host ip-172-20-58-134.ec2.internal => Score 19
I1219 15:46:59.670182       1 generic_scheduler.go:838] Host ip-172-20-45-201.ec2.internal => Score 19
I1219 15:46:59.670188       1 generic_scheduler.go:838] Host ip-172-20-49-41.ec2.internal => Score 16
I1219 15:46:59.670193       1 generic_scheduler.go:838] Host ip-172-20-61-178.ec2.internal => Score 14
I1219 15:46:59.670237       1 scheduler_binder.go:256] AssumePodVolumes for pod "default/green-k8s-test-65bb774986-qf974", node "ip-172-20-58-134.ec2.internal"
I1219 15:46:59.670250       1 scheduler_binder.go:266] AssumePodVolumes for pod "default/green-k8s-test-65bb774986-qf974", node "ip-172-20-58-134.ec2.internal": all PVCs bound and nothing to do
I1219 15:46:59.670296       1 factory.go:610] Attempting to bind green-k8s-test-65bb774986-qf974 to ip-172-20-58-134.ec2.internal

### Pod 4 ###

I1219 15:51:02.130921       1 leaderelection.go:282] successfully renewed lease kube-system/green-k8s-scheduler
I1219 15:51:03.783607       1 scheduling_queue.go:830] About to try and schedule pod default/green-k8s-test-65bb774986-72j7l
I1219 15:51:03.784685       1 scheduler.go:530] Attempting to schedule pod: default/green-k8s-test-65bb774986-72j7l
I1219 15:51:03.785517       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-72j7l on Node ip-172-20-40-148.ec2.internal is allowed, Node is running only 9 out of 110 Pods.
I1219 15:51:03.786377       1 generic_scheduler.go:667] since alwaysCheckAllPredicates has not been set, the predicate evaluation is short circuited and there are chances of other predicates failing as well.
I1219 15:51:03.787089       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-72j7l on Node ip-172-20-58-134.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1219 15:51:03.788046       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-72j7l on Node ip-172-20-45-201.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1219 15:51:03.788802       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-72j7l on Node ip-172-20-49-41.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1219 15:51:03.788808       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-72j7l on Node ip-172-20-61-178.ec2.internal is allowed, Node is running only 4 out of 110 Pods.
I1219 15:51:03.793287       1 resource_allocation.go:84] green-k8s-test-65bb774986-72j7l -> ip-172-20-58-134.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:500 memory:702545920] ,score 8,
I1219 15:51:03.794876       1 resource_allocation.go:84] green-k8s-test-65bb774986-72j7l -> ip-172-20-58-134.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:500 memory:702545920] ,score 5,
I1219 15:51:03.793857       1 resource_allocation.go:84] green-k8s-test-65bb774986-72j7l -> ip-172-20-45-201.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 9,
I1219 15:51:03.793884       1 resource_allocation.go:84] green-k8s-test-65bb774986-72j7l -> ip-172-20-49-41.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:400 memory:629145600] ,score 9,
I1219 15:51:03.793903       1 resource_allocation.go:84] green-k8s-test-65bb774986-72j7l -> ip-172-20-61-178.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:520 memory:849346560] ,score 9,
I1219 15:51:03.797284       1 resource_allocation.go:84] green-k8s-test-65bb774986-72j7l -> ip-172-20-45-201.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 6,
I1219 15:51:03.798154       1 resource_allocation.go:84] green-k8s-test-65bb774986-72j7l -> ip-172-20-49-41.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:400 memory:629145600] ,score 6,
I1219 15:51:03.798993       1 resource_allocation.go:84] green-k8s-test-65bb774986-72j7l -> ip-172-20-61-178.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:520 memory:849346560] ,score 4,
