I1221 21:22:29.047032       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-jfkvt on Node ip-172-20-45-201.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1221 21:22:29.047559       1 resource_allocation.go:84] green-k8s-test-65bb774986-jfkvt -> ip-172-20-49-41.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:629145600] ,score 9,
I1221 21:22:29.047769       1 resource_allocation.go:84] green-k8s-test-65bb774986-jfkvt -> ip-172-20-49-41.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:629145600] ,score 6,
I1221 21:22:29.047934       1 resource_allocation.go:84] green-k8s-test-65bb774986-jfkvt -> ip-172-20-61-178.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:370 memory:639631360] ,score 9,
I1221 21:22:29.048078       1 resource_allocation.go:84] green-k8s-test-65bb774986-jfkvt -> ip-172-20-61-178.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:370 memory:639631360] ,score 6,
I1221 21:22:29.048168       1 resource_allocation.go:84] green-k8s-test-65bb774986-jfkvt -> ip-172-20-58-134.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:500 memory:702545920] ,score 8,
I1221 21:22:29.048292       1 resource_allocation.go:84] green-k8s-test-65bb774986-jfkvt -> ip-172-20-58-134.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:500 memory:702545920] ,score 5,
I1221 21:22:29.048454       1 resource_allocation.go:84] green-k8s-test-65bb774986-jfkvt -> ip-172-20-45-201.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 9,
I1221 21:22:29.048545       1 resource_allocation.go:84] green-k8s-test-65bb774986-jfkvt -> ip-172-20-45-201.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:492830720] ,score 6,
I1221 21:22:29.052716       1 selector_spreading.go:146] green-k8s-test-65bb774986-jfkvt -> ip-172-20-49-41.ec2.internal: SelectorSpreadPriority, Score: (10)
I1221 21:22:29.059152       1 selector_spreading.go:146] green-k8s-test-65bb774986-jfkvt -> ip-172-20-61-178.ec2.internal: SelectorSpreadPriority, Score: (10)
